site_name,ff_funded,has_changing_rooms,Travel from Tooting,Travel from Clapham South,Travel from Streatham,Travel from Tulse Hill,Travel from London Bridge,Average Travel Time,Rounded Travel Time,Travel from Tooting (mins),Travel from Clapham South (mins),Travel from Streatham (mins),Travel from Tulse Hill (mins),Travel from London Bridge (mins),id,lat,lng,has_parking,is_publicly_bookable,number_grass_pitches,number_artificial_pitches,number_floodlit_pitches,Link,JC Shortlist,AI Shortlist,AH Shortlist,TR Shortlist,Exclude,Status,Notes,Extra notes,Who,rank,Image
PARLIAMENT HILL FIELDS,FALSE,TRUE,54 mins,46 mins,1 hour 1 min,57 mins,37 mins,54.50,50.00,54.00,46.00,61.00,57.00,37.00,1011423,51.559302,-0.149772,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1011423,,,,,,,,,,176,
HARRIS ACADEMY BECKENHAM,TRUE,TRUE,1 hour 1 min,57 mins,52 mins,49 mins,56 mins,54.75,50.00,61.00,57.00,52.00,49.00,56.00,1003320,51.400501,-0.026784,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1003320,,,,,,,,,,177,
RAYNES PARK HIGH SCHOOL,FALSE,TRUE,48 mins,46 mins,1 hour 9 mins,57 mins,1 hour 6 mins,55.00,60.00,48.00,46.00,69.00,57.00,66.00,1009904,51.403406,-0.238162,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1009904,,,,,,,,,,178,
NONSUCH HIGH SCHOOL FOR GIRLS,FALSE,TRUE,49 mins,47 mins,50 mins,1 hour 15 mins,1 hour 9 mins,55.25,60.00,49.00,47.00,50.00,75.00,69.00,1019112,51.355434,-0.223734,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1019112,,,,,,,,,,179,
DRAPERS SPORTS GROUND,FALSE,TRUE,50 mins,45 mins,1 hour 7 mins,1 hour 1 min,34 mins,55.75,60.00,50.00,45.00,67.00,61.00,34.00,6006409,51.552033,-0.005711,TRUE,TRUE,1,1,1,https://pitchfinder.org.uk/map/site/6006409,,,,,,,,,,180,
HARRIS ACADEMY MERTON,FALSE,TRUE,45 mins,31 mins,26 mins,42 mins,56 mins,36.00,40.00,45.00,31.00,26.00,42.00,56.00,1009906,51.403609,-0.133591,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1009906,,Y,Y,Y,,Enquiring,"sand, 95x50m, £95/hour",,Hoppo,44,
TOOTING TRIANGLE,,,,,,,33 mins,,,,,,,33.00,,51.4405342,-0.1425663,FALSE,TRUE,0,1,1,https://tootingtriangle.com/,,,,Y,Under Construction,Under Construction,,,Ridings V2,182,
COLFE'S LEISURE CENTRE,FALSE,TRUE,51 mins,45 mins,1 hour 5 mins,1 hour 9 mins,26 mins,57.50,60.00,51.00,45.00,65.00,69.00,26.00,1002242,51.449437,0.019393,TRUE,TRUE,1,1,1,https://pitchfinder.org.uk/map/site/1002242,,,,,,,,,,183,
WANDGAS SPORTS AND SOCIAL CLUB,TRUE,TRUE,51 mins,1 hour 14 mins,1 hour 3 mins,1 hour 9 mins,1 hour 2 mins,64.25,60.00,51.00,74.00,63.00,69.00,62.00,1038935,51.373759,-0.26077,TRUE,TRUE,2,1,1,https://pitchfinder.org.uk/map/site/1038935,,,,,,,,,,184,
FULHAM FC (CRAVEN COTTAGE),FALSE,TRUE,53 mins,54 mins,56 mins,59 mins,55 mins,55.50,60.00,53.00,54.00,56.00,59.00,55.00,30003378,51.47452,-0.22061,FALSE,FALSE,1,0,1,https://pitchfinder.org.uk/map/site/30003378,,,,,,,,,,185,
CHOBHAM ACADEMY,TRUE,TRUE,54 mins,48 mins,59 mins,1 hour 5 mins,37 mins,56.50,60.00,54.00,48.00,59.00,65.00,37.00,30005569,51.549251,-0.007058,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/30005569,,,,,,,,,,186,
LEYTON ORIENT FC (THE BREYER GROUP STADIUM),FALSE,TRUE,54 mins,46 mins,1 hour 10 mins,1 hour 3 mins,37 mins,58.25,60.00,54.00,46.00,70.00,63.00,37.00,30003481,51.560212,-0.011886,FALSE,FALSE,1,0,1,https://pitchfinder.org.uk/map/site/30003481,,,,,,,,,,187,
LONDON STADIUM,FALSE,TRUE,54 mins,50 mins,1 hour 5 mins,1 hour 5 mins,38 mins,58.50,60.00,54.00,50.00,65.00,65.00,38.00,30003639,51.538634,-0.016431,TRUE,FALSE,1,0,1,https://pitchfinder.org.uk/map/site/30003639,,,,,,,,,,188,
COLDHARBOUR LEISURE CENTRE,FALSE,TRUE,55 mins,49 mins,1 hour 10 mins,1 hour 18 mins,30 mins,63.00,60.00,55.00,49.00,70.00,78.00,30.00,1002839,51.436698,0.054374,TRUE,TRUE,11,2,2,https://pitchfinder.org.uk/map/site/1002839,,,,,,,,,,189,
