site_name,ff_funded,has_changing_rooms,Travel from Tooting,Travel from Clapham South,Travel from Streatham,Travel from Tulse Hill,Travel from London Bridge,Average Travel Time,Rounded Travel Time,Travel from Tooting (mins),Travel from Clapham South (mins),Travel from Streatham (mins),Travel from Tulse Hill (mins),Travel from London Bridge (mins),id,lat,lng,has_parking,is_publicly_bookable,number_grass_pitches,number_artificial_pitches,number_floodlit_pitches,Link,JC Shortlist,AI Shortlist,AH Shortlist,TR Shortlist,Exclude,Status,Notes,Extra notes,Who,rank,Image
QUEEN MARY UNIVERSITY SPORTS GROUND (WEST SITE),FALSE,TRUE,1 hour 10 mins,1 hour 17 mins,1 hour 17 mins,1 hour 13 mins,43 mins,74.25,70.00,70.00,77.00,77.00,73.00,43.00,6015788,51.416975,0.082864,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6015788,,,,,,,,,,436,
ALPERTON COMMUNITY SCHOOL PLAYING FIELDS,FALSE,FALSE,1 hour 14 mins,1 hour 10 mins,1 hour 21 mins,1 hour 13 mins,59 mins,74.50,70.00,74.00,70.00,81.00,73.00,59.00,1040125,51.542528,-0.288568,FALSE,FALSE,4,0,0,https://pitchfinder.org.uk/map/site/1040125,,,,,,,,,,437,
WEST WICKHAM CRICKET & FOOTBALL CLUB,TRUE,TRUE,1 hour 22 mins,1 hour 15 mins,1 hour 10 mins,1 hour 12 mins,1 hour 3 mins,74.75,70.00,82.00,75.00,70.00,72.00,63.00,1040621,51.37218,-0.008045,TRUE,TRUE,8,0,0,https://pitchfinder.org.uk/map/site/1040621,,,,,,,,,,438,
BRENTHAM SPORTS CLUB LTD,TRUE,TRUE,1 hour 17 mins,1 hour 6 mins,1 hour 21 mins,1 hour 15 mins,1 hour 1 min,74.75,70.00,77.00,66.00,81.00,75.00,61.00,6005633,51.528843,-0.309347,TRUE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/6005633,,,,,,,,,,439,
HARRIS ACADEMY GREENWICH,FALSE,TRUE,1 hour 8 mins,1 hour 1 min,1 hour 23 mins,1 hour 28 mins,49 mins,75.00,80.00,68.00,61.00,83.00,88.00,49.00,1201340,51.450714,0.038873,TRUE,TRUE,6,1,1,https://pitchfinder.org.uk/map/site/1201340,,,,,,,,,,440,
PARK VIEW ROAD STADIUM,TRUE,TRUE,1 hour 12 mins,1 hour 5 mins,1 hour 29 mins,1 hour 29 mins,48 mins,78.75,80.00,72.00,65.00,89.00,89.00,48.00,30003504,51.460394,0.116739,TRUE,TRUE,1,0,1,https://pitchfinder.org.uk/map/site/30003504,,,,,,,,,,441,
HAM PLAYING FIELDS,TRUE,TRUE,1 hour 13 mins,1 hour 12 mins,1 hour 28 mins,1 hour 19 mins,1 hour 19 mins,78.00,80.00,73.00,72.00,88.00,79.00,79.00,6002747,51.440506,-0.321518,TRUE,TRUE,3,3,3,https://pitchfinder.org.uk/map/site/6002747,,,,,,,,,,442,
BADGERS SPORTS GROUND,TRUE,TRUE,1 hour 13 mins,1 hour 1 min,1 hour 22 mins,1 hour 24 mins,47 mins,75.00,80.00,73.00,61.00,82.00,84.00,47.00,6014832,51.450426,0.03461,TRUE,TRUE,2,0,1,https://pitchfinder.org.uk/map/site/6014832,,,,,,,,,,443,
ST PAULS ACADEMY,TRUE,TRUE,1 hour 14 mins,1 hour 14 mins,1 hour 16 mins,1 hour 16 mins,51 mins,75.00,80.00,74.00,74.00,76.00,76.00,51.00,1014596,51.492513,0.105386,TRUE,TRUE,1,1,1,https://pitchfinder.org.uk/map/site/1014596,,,,,,,,,,444,
FLANDERS PLAYING FIELD,TRUE,TRUE,1 hour 19 mins,1 hour 14 mins,1 hour 26 mins,1 hour 26 mins,55 mins,81.25,80.00,79.00,74.00,86.00,86.00,55.00,6009925,51.530411,0.0615,TRUE,TRUE,6,1,1,https://pitchfinder.org.uk/map/site/6009925,,,,,,,,,,445,
LANGDON ACADEMY,FALSE,TRUE,1 hour 19 mins,1 hour 16 mins,1 hour 28 mins,1 hour 33 mins,59 mins,84.00,80.00,79.00,76.00,88.00,93.00,59.00,1002096,51.533757,0.067577,TRUE,TRUE,2,1,1,https://pitchfinder.org.uk/map/site/1002096,,,,,,,,,,446,
HARRIS ACADEMY PURLEY,FALSE,TRUE,1 hour 21 mins,1 hour 13 mins,1 hour 11 mins,1 hour 17 mins,56 mins,75.50,80.00,81.00,73.00,71.00,77.00,56.00,1200969,51.353322,-0.10929,TRUE,TRUE,2,1,1,https://pitchfinder.org.uk/map/site/1200969,,,,,,,,,,447,
CAPITAL CITY ACADEMY,TRUE,TRUE,1 hour 21 mins,1 hour 13 mins,1 hour 19 mins,1 hour 13 mins,51 mins,76.50,80.00,81.00,73.00,79.00,73.00,51.00,1002137,51.539964,-0.232926,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1002137,,,,,,,,,,448,
RIDDLESDOWN COLLEGIATE,FALSE,TRUE,1 hour 12 mins,1 hour 16 mins,1 hour 11 mins,1 hour 23 mins,1 hour 4 mins,75.50,80.00,72.00,76.00,71.00,83.00,64.00,1201034,51.325742,-0.08791,TRUE,FALSE,6,1,0,https://pitchfinder.org.uk/map/site/1201034,,,,,,,,,,449,
WELLING SCHOOL,FALSE,TRUE,1 hour 20 mins,1 hour 20 mins,1 hour 23 mins,1 hour 23 mins,54 mins,81.50,80.00,80.00,80.00,83.00,83.00,54.00,1010107,51.469226,0.111915,TRUE,TRUE,2,1,0,https://pitchfinder.org.uk/map/site/1010107,,,,,,,,,,450,
WEST HAM FOUNDATION,TRUE,TRUE,1 hour 22 mins,1 hour 14 mins,1 hour 22 mins,1 hour 31 mins,50 mins,82.25,80.00,82.00,74.00,82.00,91.00,50.00,30003528,51.519278,0.058295,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/30003528,,,,,,,,,,451,
WALCOUNTIANS SPORTS CLUB,TRUE,TRUE,1 hour 22 mins,1 hour 30 mins,1 hour 13 mins,1 hour 26 mins,1 hour 1 min,82.75,80.00,82.00,90.00,73.00,86.00,61.00,1014734,51.329144,-0.169124,TRUE,TRUE,12,1,1,https://pitchfinder.org.uk/map/site/1014734,,,,,,,,,,452,
GLEBE FC,TRUE,TRUE,1 hour 26 mins,1 hour 21 mins,1 hour 21 mins,1 hour 18 mins,47 mins,81.50,80.00,86.00,81.00,81.00,78.00,47.00,1015694,51.419429,0.083951,TRUE,TRUE,9,0,1,https://pitchfinder.org.uk/map/site/1015694,,,,,,,,,,453,
METROPOLITAN POLICE SPORTS CLUB,FALSE,TRUE,1 hour 18 mins,1 hour 12 mins,1 hour 19 mins,1 hour 11 mins,57 mins,75.00,80.00,78.00,72.00,79.00,71.00,57.00,6006446,51.37062,0.008582,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6006446,,,,,,,,,,454,
TOKYNGTON RECREATION GROUND,FALSE,TRUE,1 hour 16 mins,1 hour 11 mins,1 hour 22 mins,1 hour 15 mins,55 mins,76.00,80.00,76.00,71.00,82.00,75.00,55.00,1202827,51.552973,-0.267127,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1202827,,,,,,,,,,455,
CONEY RECREATION GROUND,FALSE,TRUE,1 hour 26 mins,1 hour 18 mins,1 hour 12 mins,1 hour 9 mins,1 hour 4 mins,76.25,80.00,86.00,78.00,72.00,69.00,64.00,6002349,51.36623,-0.001848,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6002349,,,,,,,,,,456,
HORNFAIR PARK,TRUE,TRUE,1 hour 6 mins,1 hour 15 mins,1 hour 21 mins,1 hour 25 mins,40 mins,76.75,80.00,66.00,75.00,81.00,85.00,40.00,6001637,51.475551,0.043751,FALSE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6001637,,,,,,,,,,457,
THE BEAVERWOOD CLUB,FALSE,TRUE,1 hour 19 mins,1 hour 9 mins,1 hour 22 mins,1 hour 18 mins,47 mins,77.00,80.00,79.00,69.00,82.00,78.00,47.00,6007010,51.418978,0.090626,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6007010,,,,,,,,,,458,
DARUL ULOOM LONDON,FALSE,TRUE,1 hour 22 mins,1 hour 17 mins,1 hour 17 mins,1 hour 13 mins,43 mins,77.25,80.00,82.00,77.00,77.00,73.00,43.00,1201182,51.416862,0.081167,TRUE,FALSE,1,0,0,https://pitchfinder.org.uk/map/site/1201182,,,,,,,,,,459,
QUEEN MARY SPORTS GROUND (EAST GROUND),FALSE,TRUE,1 hour 13 mins,1 hour 20 mins,1 hour 20 mins,1 hour 16 mins,45 mins,77.25,80.00,73.00,80.00,80.00,76.00,45.00,1039317,51.417603,0.086915,TRUE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/1039317,,,,,,,,,,460,
SWINGATE PLAYING FIELDS,TRUE,FALSE,1 hour 14 mins,1 hour 16 mins,1 hour 19 mins,1 hour 20 mins,47 mins,77.25,80.00,74.00,76.00,79.00,80.00,47.00,6004299,51.481533,0.09682,TRUE,TRUE,7,0,0,https://pitchfinder.org.uk/map/site/6004299,,,,,,,,,,461,
SCOTCH COMMON,TRUE,TRUE,1 hour 20 mins,1 hour 13 mins,1 hour 21 mins,1 hour 15 mins,1 hour 5 mins,77.25,80.00,80.00,73.00,81.00,75.00,65.00,6006547,51.525566,-0.321664,FALSE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/6006547,,,,,,,,,,462,
SEVEN ACRE SPORTS & SOCIAL CLUB,FALSE,TRUE,1 hour 19 mins,1 hour 15 mins,1 hour 18 mins,1 hour 18 mins,46 mins,77.50,80.00,79.00,75.00,78.00,78.00,46.00,1040922,51.491219,0.102035,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1040922,,,,,,,,,,463,
OLD BROCKLEIANS SPORTS CLUB,FALSE,TRUE,1 hour 12 mins,1 hour 3 mins,1 hour 24 mins,1 hour 32 mins,38 mins,77.75,80.00,72.00,63.00,84.00,92.00,38.00,6011798,51.447551,0.03402,TRUE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/6011798,,,,,,,,,,464,
WOODCOTE HIGH SCHOOL,TRUE,TRUE,1 hour 14 mins,1 hour 19 mins,1 hour 20 mins,1 hour 19 mins,53 mins,78.00,80.00,74.00,79.00,80.00,79.00,53.00,1009452,51.330577,-0.140836,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1009452,,,,,,,,,,465,
PENHILL PARK,FALSE,TRUE,1 hour 16 mins,1 hour 10 mins,1 hour 23 mins,1 hour 27 mins,50 mins,79.00,80.00,76.00,70.00,83.00,87.00,50.00,6009130,51.445118,0.114197,TRUE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/6009130,,,,,,,,,,466,
ADDINGTON VALLEY ACADEMY,FALSE,TRUE,1 hour 22 mins,1 hour 17 mins,1 hour 24 mins,1 hour 16 mins,59 mins,79.75,80.00,82.00,77.00,84.00,76.00,59.00,30008318,51.357839,-0.023045,TRUE,FALSE,1,0,0,https://pitchfinder.org.uk/map/site/30008318,,,,,,,,,,467,
KING GEORGES FIELD (HAM),TRUE,TRUE,1 hour 17 mins,1 hour 15 mins,1 hour 29 mins,1 hour 19 mins,1 hour 18 mins,80.00,80.00,77.00,75.00,89.00,79.00,78.00,1202533,51.443317,-0.318905,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1202533,,,,,,,,,,468,
LITTLE ILFORD PARK,FALSE,FALSE,1 hour 17 mins,1 hour 12 mins,1 hour 25 mins,1 hour 28 mins,54 mins,80.50,80.00,77.00,72.00,85.00,88.00,54.00,1202438,51.549053,0.066107,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1202438,,,,,,,,,,469,
CLOCKHOUSE RECREATION GROUND,FALSE,TRUE,1 hour 20 mins,1 hour 15 mins,1 hour 26 mins,1 hour 22 mins,1 hour 3 mins,80.75,80.00,80.00,75.00,86.00,82.00,63.00,6002127,51.324629,-0.160039,TRUE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/6002127,,,,,,,,,,470,
WOODMANSTERNE SPORTS CLUB,TRUE,TRUE,1 hour 15 mins,1 hour 41 mins,1 hour 6 mins,1 hour 25 mins,1 hour 1 min,81.75,80.00,75.00,101.00,66.00,85.00,61.00,1207140,51.32403,-0.172805,TRUE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/1207140,,,,,,,,,,471,
OLD SHOOTERSHILLIAN SPORTS AND SOCIAL CLUB,TRUE,TRUE,1 hour 20 mins,1 hour 14 mins,1 hour 22 mins,1 hour 34 mins,51 mins,82.50,80.00,80.00,74.00,82.00,94.00,51.00,6011857,51.466451,0.044186,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6011857,,,,,,,,,,472,
ROSE COTTAGE PLAYING FIELDS,TRUE,TRUE,1 hour 26 mins,1 hour 20 mins,1 hour 22 mins,1 hour 22 mins,55 mins,82.50,80.00,86.00,80.00,82.00,82.00,55.00,30006773,51.473851,0.092168,TRUE,TRUE,8,0,0,https://pitchfinder.org.uk/map/site/30006773,,,,,,,,,,473,
BRAMPTON MANOR ACADEMY,FALSE,TRUE,1 hour 21 mins,1 hour 15 mins,1 hour 23 mins,1 hour 32 mins,51 mins,82.75,80.00,81.00,75.00,83.00,92.00,51.00,1010050,51.522254,0.041988,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1010050,,,,,,,,,,474,
BEXLEY GRAMMAR SCHOOL,TRUE,TRUE,1 hour 19 mins,1 hour 12 mins,1 hour 27 mins,1 hour 34 mins,57 mins,83.00,80.00,79.00,72.00,87.00,94.00,57.00,1200735,51.456744,0.108445,TRUE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/1200735,,,,,,,,,,475,
GOOSELEY PLAYING FIELDS,TRUE,TRUE,1 hour 21 mins,1 hour 12 mins,1 hour 30 mins,1 hour 30 mins,1 hour 4 mins,83.25,80.00,81.00,72.00,90.00,90.00,64.00,1202844,51.524,0.065535,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1202844,,,,,,,,,,476,
PURLEY WAY PLAYING FIELDS,TRUE,TRUE,1 hour 30 mins,1 hour 21 mins,1 hour 21 mins,1 hour 25 mins,1 hour 11 mins,84.25,80.00,90.00,81.00,81.00,85.00,71.00,1202784,51.349882,-0.113114,TRUE,TRUE,18,0,0,https://pitchfinder.org.uk/map/site/1202784,,,,,,,,,,477,
